"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-08-25_09-00-01","547.0","203.0","190.0","154.0","17","1"
"192_168_4_5-2020-09-27_13-30-01","1137.0","496.0","477.0","164.0","17","1"
"192_168_4_5-2020-09-15_09-15-01","61.0","20.0","26.0","15.0","13","1"
"192_168_4_5-2020-09-23_16-30-01","224.0","86.0","88.0","50.0","15","3"
"192_168_4_5-2020-09-15_19-00-01","1576.0","589.0","777.0","210.0","15","5"
"192_168_4_5-2020-09-05_11-15-01","770.0","312.0","387.0","71.0","13","3"
"192_168_4_5-2020-09-19_18-30-01","48.0","23.0","20.0","5.0","13","1"
"192_168_4_5-2020-09-04_14-45-01","3107.0","1344.0","1342.0","421.0","25","11"
"192_168_4_5-2020-09-09_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-09_22-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-28_16-15-01","387.0","165.0","170.0","52.0","13","1"
"192_168_4_5-2020-10-01_11-30-02","2776.0","1325.0","1302.0","149.0","13","5"
"192_168_4_5-2020-09-07_19-00-01","728.0","316.0","312.0","100.0","15","1"
"192_168_4_5-2020-08-28_18-15-01","1803.0","642.0","731.0","430.0","21","5"
"192_168_4_5-2020-09-01_13-00-01","827.0","370.0","396.0","61.0","25","5"
"192_168_4_5-2020-09-19_09-45-01","90.0","22.0","22.0","46.0","13","1"
"192_168_4_5-2020-10-02_14-15-01","1602.0","699.0","689.0","214.0","13","5"
"192_168_4_5-2020-09-04_22-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-24_10-32-49","1345.0","612.0","614.0","119.0","13","3"
"192_168_4_5-2020-09-28_19-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-17_08-45-01","144.0","61.0","65.0","18.0","13","3"
"192_168_4_5-2020-09-23_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-28_08-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-29_22-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-28_19-15-01","1505.0","571.0","666.0","268.0","19","1"
"192_168_4_5-2020-08-27_12-45-01","1096.0","442.0","469.0","185.0","25","3"
"192_168_4_5-2020-09-24_17-30-01","357.0","158.0","166.0","33.0","17","1"
"192_168_4_5-2020-09-07_10-30-01","211.0","92.0","105.0","14.0","13","1"
"192_168_4_5-2020-08-26_08-30-02","468.0","193.0","251.0","24.0","13","1"
"192_168_4_5-2020-08-29_10-30-01","96.0","30.0","46.0","20.0","13","1"
"192_168_4_5-2020-09-30_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-17_22-15-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-07_12-30-01","571.0","218.0","257.0","96.0","23","1"
"192_168_4_5-2020-09-09_18-00-01","175.0","18.0","128.0","29.0","13","1"
"192_168_4_5-2020-09-11_12-30-01","1153.0","499.0","567.0","87.0","25","7"
"192_168_4_5-2020-08-28_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-16_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-28_21-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-21_07-15-01","11.0","4.0","3.0","4.0","13","1"
"192_168_4_5-2020-09-01_20-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-01_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-08_12-45-01","1428.0","618.0","622.0","188.0","19","1"
"192_168_4_5-2020-09-28_18-45-01","29.0","15.0","14.0","0.0","13","1"
"192_168_4_5-2020-09-18_17-30-01","204.0","79.0","93.0","32.0","15","3"
"192_168_4_5-2020-09-22_19-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-02_07-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-06_14-00-01","1723.0","720.0","804.0","199.0","15","5"
"192_168_4_5-2020-10-02_12-30-01","44.0","5.0","26.0","13.0","13","1"
"192_168_4_5-2020-09-11_22-00-01","0.0","0.0","0.0","0.0","13","1"
