date_time,station_id,rh,eto,etr,rso,ea_avg,precip,rh_max,rh_min,rh_tmn,rh_tmx,td_avg,td_max,td_min,td_tmn,td_tmx,co2_avg,ppf_avg,solarmj,wet_pct,airt_avg,airt_max,airt_min,airt_tmn,airt_tmx,lwdn_avg,lwup_avg,pressure,swdn_avg,swup_avg,windd_sd,windd_avg,winds_avg,winds_max,winds_tmx,netrad_avg,fan_rmp_avg,visibilitymiles,batt_volt_min,surfacet1_avg,surfacet2_avg,visibilitymiles_avg,pressurekpasealevel
"2020-06-22 12:59:59",1279257,33,0.025,0.028,3.588,1.008,0.000,37,29,22JUN2020:12:25:11,22JUN2020:12:41:11,44.8,49.6,42.3,22JUN2020:12:25:24,22JUN2020:12:41:14,427.1,2067,3.4060,0,74.8,77.9,72.9,22JUN2020:12:16:42,22JUN2020:12:19:42,487.1,379.6,86.2,202.3,1008,62,338,2.461,8.500,22JUN2020:12:08:02,698.3,4597,13.422,13.1,90.0,90.9,17.895,101.7
"2020-06-22 13:59:59",1279257,31,0.026,0.029,3.493,0.990,0.000,35,27,22JUN2020:13:55:31,22JUN2020:13:38:31,44.2,48.6,42.1,22JUN2020:13:05:24,22JUN2020:13:38:34,425.9,2002,3.2990,0,76.6,80.1,74.1,22JUN2020:13:05:22,22JUN2020:13:51:22,487.4,383.8,86.1,199.9,979,61,17,2.684,8.500,22JUN2020:13:11:15,675.8,4586,13.422,13.1,89.4,90.5,18.455,101.7
"2020-06-22 14:59:59",1279257,31,0.026,0.029,3.222,1.009,0.000,35,27,22JUN2020:14:52:21,22JUN2020:14:04:01,44.8,49.1,42.3,22JUN2020:14:20:24,22JUN2020:14:31:04,424.8,1829,3.0200,0,77.7,81.7,75.4,22JUN2020:14:02:52,22JUN2020:14:55:42,487.8,386.1,86.1,190.8,897,54,294,2.461,8.500,22JUN2020:14:27:18,604.4,4585,19.884,13.06,86.7,92.7,18.455,101.7
"2020-06-22 15:59:59",1279257,30,0.024,0.027,2.775,1.001,0.000,34,26,22JUN2020:15:33:41,22JUN2020:15:41:51,44.6,49.5,42.4,22JUN2020:15:33:44,22JUN2020:15:41:54,424.7,1558,2.5910,0,78.4,81.1,76.8,22JUN2020:15:07:42,22JUN2020:15:52:12,481.2,385.8,86.1,174.3,768.2,68,314,2.461,7.829,22JUN2020:15:02:52,498.5,4589,19.822,13.07,83.3,91.0,18.330,101.6
"2020-06-22 16:59:59",1279257,29,0.020,0.023,2.197,1.027,0.000,31,27,22JUN2020:16:18:21,22JUN2020:16:34:21,45.3,48.4,43.7,22JUN2020:16:00:01,22JUN2020:16:34:24,426.0,1210,2.0460,0,79.5,81.3,77.5,22JUN2020:16:17:42,22JUN2020:16:41:12,468.7,384.8,86.1,146.6,601.8,56,43,3.132,9.171,22JUN2020:16:44:46,371.3,4577,18.828,12.88,81.3,83.3,18.579,101.6
"2020-06-22 17:59:59",1279257,30,0.016,0.019,1.528,1.070,0.000,34,27,22JUN2020:17:58:41,22JUN2020:17:46:11,46.4,51.4,43.7,22JUN2020:17:16:14,22JUN2020:17:46:14,426.0,823,1.4410,0,79.5,81.1,77.0,22JUN2020:17:05:12,22JUN2020:17:48:52,457.9,380.2,86.0,110.1,411.5,65,34,2.237,7.158,22JUN2020:17:21:24,223.6,4476,14.043,12.64,81.0,75.2,18.641,101.6
"2020-06-22 18:59:59",1279257,28,0.011,0.013,0.836,1.089,0.000,30,27,22JUN2020:18:11:41,22JUN2020:18:50:41,46.8,48.7,45.0,22JUN2020:18:00:14,22JUN2020:18:31:24,426.8,492.8,1.1420,0,79.3,81.5,77.2,22JUN2020:18:47:22,22JUN2020:18:12:42,439.9,377.2,86.0,49.58,280.1,72,339,1.566,6.263,22JUN2020:18:03:13,167.7,4445,19.884,12.54,74.7,69.4,18.455,101.6
"2020-06-22 19:59:59",1279257,33,0.007,0.009,0.221,1.083,0.000,37,28,22JUN2020:19:10:01,22JUN2020:19:59:51,46.6,48.4,45.7,22JUN2020:19:39:24,22JUN2020:19:00:04,429.9,113.9,0.2720,0,77.4,80.1,74.7,22JUN2020:19:59:22,22JUN2020:19:03:52,420.5,367.3,86.0,6.811,45.42,67,320,1.342,4.474,22JUN2020:19:11:21,-14.65,4407,19.635,12.4,66.9,,19.387,101.6
"2020-06-22 20:59:59",1279257,41,0.000,0.001,0.001,1.119,0.000,46,37,22JUN2020:20:01:11,22JUN2020:20:33:41,47.5,48.9,46.8,22JUN2020:20:59:34,22JUN2020:20:30:04,438.8,-1.258,0.0040,0,72.0,76.3,68.9,22JUN2020:20:56:22,22JUN2020:20:00:32,403.7,352.7,86.1,0.103,0.017,46,97,1.566,5.145,22JUN2020:20:58:46,-51.1,4379,19.014,12.37,61.0,60.4,19.138,101.6
"2020-06-22 21:59:59",1279257,45,0.000,0.000,0,1.082,0.000,47,44,22JUN2020:21:06:41,22JUN2020:21:56:31,46.6,46.9,46.2,22JUN2020:21:59:44,22JUN2020:21:10:04,441.5,-3.593,0.0000,0,68.7,70.0,67.3,22JUN2020:21:54:42,22JUN2020:21:01:22,399.5,345.3,86.1,1.15,0,49,60,2.684,9.843,22JUN2020:21:53:46,-55.32,4358,17.958,12.28,59.9,60.1,18.579,101.6
"2020-06-22 23:59:59",1279257,52,0.001,0.001,0,1.074,0.000,53,50,22JUN2020:23:02:01,22JUN2020:23:49:31,46.4,46.8,46.2,22JUN2020:23:03:24,22JUN2020:23:43:14,451.2,-3.599,0.0000,0,64.8,65.8,63.3,22JUN2020:23:48:02,22JUN2020:23:00:42,392.2,335.9,86.1,0.907,0,51,52,3.803,13.198,22JUN2020:23:04:41,-57.27,4335,19.635,12.31,58.1,57.9,19.325,101.6
"2020-06-23 00:59:59",1279257,55,0.000,0.001,0,1.075,0.000,57,53,23JUN2020:00:00:01,23JUN2020:00:54:41,46.4,46.8,46.2,23JUN2020:00:41:04,23JUN2020:00:13:54,454.3,-3.6,0.0000,0,63.1,64.4,61.9,23JUN2020:00:44:52,23JUN2020:00:18:32,388.2,332.3,86.1,0.972,0,50,78,3.579,10.066,23JUN2020:00:31:50,-56.9,4326,19.635,12.3,56.7,56.7,19.200,101.6
"2020-06-23 01:59:59",1279257,57,0.000,0.000,0,1.069,0.000,58,56,23JUN2020:01:03:31,23JUN2020:01:45:31,46.4,46.6,46.2,23JUN2020:01:23:44,23JUN2020:01:06:34,456.1,-3.6,0.0000,0,61.7,62.8,60.8,23JUN2020:01:37:42,23JUN2020:01:04:32,386.4,329.2,86.1,1.006,0,40,44,5.145,14.987,23JUN2020:01:02:27,-58.27,4311,19.884,12.28,56.5,56.3,19.076,101.6
"2020-06-23 02:59:59",1279257,59,0.001,0.001,0,1.063,0.000,60,57,23JUN2020:02:17:41,23JUN2020:02:46:21,46.2,46.6,45.9,23JUN2020:02:52:44,23JUN2020:02:16:34,457.0,-3.599,0.0000,0,60.8,63.3,59.7,23JUN2020:02:59:22,23JUN2020:02:16:02,384,327.7,86.1,0.96,0,41,42,4.921,13.869,23JUN2020:02:50:29,-57.25,4298,19.449,12.26,55.6,55.6,19.138,101.6
"2020-06-23 03:59:59",1279257,60,0.000,0.001,0,1.047,0.000,62,59,23JUN2020:03:19:11,23JUN2020:03:47:21,45.7,46.0,45.5,23JUN2020:03:59:24,23JUN2020:03:03:54,458.2,-3.595,0.0000,0,59.5,61.5,58.6,23JUN2020:03:43:22,23JUN2020:03:15:32,379.1,324.1,86.1,1.098,0,64,75,3.355,13.198,23JUN2020:03:21:25,-56.18,4288,19.884,12.22,53.8,53.8,19.200,101.7
"2020-06-23 04:59:59",1279257,62,0.000,0.000,0,1.032,0.000,63,61,23JUN2020:04:06:01,23JUN2020:04:32:51,45.3,45.7,45.0,23JUN2020:04:53:24,23JUN2020:04:01:54,459.4,-1.442,0.0040,0,58.5,59.7,57.7,23JUN2020:04:31:52,23JUN2020:04:04:32,377.2,322.4,86.1,1.258,0.098,50,84,4.250,13.422,23JUN2020:04:02:59,-55.97,4282,19.884,12.2,53.2,53.2,19.449,101.7
"2020-06-23 05:59:59",1279257,62,0.002,0.003,0.145,1.014,0.000,62,61,23JUN2020:05:28:01,23JUN2020:05:12:01,45.0,45.3,44.6,23JUN2020:05:28:04,23JUN2020:05:06:24,460.1,38.87,0.0430,0,58.1,58.6,57.4,23JUN2020:05:32:32,23JUN2020:05:02:42,376.4,320.9,86.2,2.756,11.98,48,56,4.026,14.987,23JUN2020:05:27:25,-46.21,4280,19.884,12.2,53.1,53.2,19.511,101.7
"2020-06-23 06:59:59",1279257,60,0.002,0.003,0.7270001,1.028,0.000,62,58,23JUN2020:06:57:01,23JUN2020:06:07:11,45.3,46.2,44.8,23JUN2020:06:33:44,23JUN2020:06:59:44,457.5,80.1,0.0890,0,59.4,62.1,57.6,23JUN2020:06:05:12,23JUN2020:06:58:32,379.8,322,86.2,6.613,30.61,50,48,4.474,14.540,23JUN2020:06:32:58,-33.82,4285,19.884,12.23,54.3,54.3,19.200,101.8
"2020-06-23 07:59:59",1279257,54,0.002,0.004,1.413,1.075,0.000,58,51,23JUN2020:07:50:51,23JUN2020:07:00:01,46.4,47.7,45.7,23JUN2020:07:26:24,23JUN2020:07:57:04,450.8,668.4,1.1560,0,63.3,66.4,60.8,23JUN2020:07:00:22,23JUN2020:07:59:42,401.5,337.3,86.2,63.53,344.4,32,46,3.355,9.619,23JUN2020:07:06:51,216.7,4339,18.455,12.28,59.7,63.5,18.890,101.8
"2020-06-23 08:59:59",1279257,54,0.009,0.011,2.082,1.250,0.000,57,50,23JUN2020:08:08:11,23JUN2020:08:58:11,50.5,53.2,47.1,23JUN2020:08:08:14,23JUN2020:08:58:14,453.6,1201,2.0260,0,66.6,68.7,64.8,23JUN2020:08:09:12,23JUN2020:08:58:02,442.1,355.3,86.2,137.2,593.8,62,358,1.790,6.935,23JUN2020:08:39:10,369.9,4552,19.822,12.64,75.7,77.2,18.082,101.7
"2020-06-23 09:59:59",1279257,54,0.015,0.016,2.661,1.351,0.000,58,50,23JUN2020:09:54:51,23JUN2020:09:00:41,52.5,55.4,50.9,23JUN2020:09:28:34,23JUN2020:09:56:04,453.1,1552,2.5650,0,68.9,71.6,66.7,23JUN2020:09:02:02,23JUN2020:09:53:22,459.7,365.9,86.2,166.2,760.1,59,16,2.237,8.500,23JUN2020:09:59:25,500.1,4617,19.884,13.19,84.6,80.1,17.833,101.7
"2020-06-23 10:59:59",1279257,48,0.019,0.021,3.115,1.340,0.000,56,40,23JUN2020:10:53:41,23JUN2020:10:02:21,52.3,55.4,48.9,23JUN2020:10:53:44,23JUN2020:10:02:24,439.9,1829,3.0010,0,72.0,75.0,69.4,23JUN2020:10:00:01,23JUN2020:10:40:42,475.3,376.3,86.1,184.7,889,70,9,2.013,6.935,23JUN2020:10:32:26,605.8,4599,16.094,13.14,89.8,84.7,17.647,101.7
"2020-06-23 11:59:59",1279257,43,0.022,0.025,3.417,1.267,0.000,49,37,23JUN2020:11:34:21,23JUN2020:11:01:01,50.9,55.2,48.9,23JUN2020:11:41:24,23JUN2020:11:01:04,434.0,2008,3.2870,0,75.4,79.0,72.5,23JUN2020:11:07:22,23JUN2020:11:53:52,488.5,386.1,86.1,194.8,972,66,10,2.237,6.487,23JUN2020:11:30:16,675.2,4591,16.342,13.11,91.9,90.3,17.771,101.6
"2020-06-23 12:59:59",1279257,37,0.025,0.028,3.54,1.271,0.000,43,32,23JUN2020:12:44:41,23JUN2020:12:02:51,50.9,54.9,48.6,23JUN2020:12:29:14,23JUN2020:12:02:54,429.6,2064,3.3750,0,78.8,82.4,76.3,23JUN2020:12:00:02,23JUN2020:12:46:32,496.8,395.7,86.0,198,999,68,23,2.237,7.829,23JUN2020:12:32:29,700,4591,16.653,13.11,93.7,,17.771,101.6
"2020-06-23 13:59:59",1279257,34,0.027,0.030,3.458,1.200,0.000,41,26,23JUN2020:13:58:51,23JUN2020:13:04:21,49.3,55.8,45.3,23JUN2020:13:58:54,23JUN2020:13:04:24,426.5,2005,3.2800,0,80.4,84.0,77.5,23JUN2020:13:13:52,23JUN2020:13:57:32,492.6,399.4,86.0,185.8,974,68,43,2.461,8.724,23JUN2020:13:23:59,694.8,4579,14.229,13.05,91.9,,18.393,101.5
"2020-06-23 14:59:59",1279257,29,0.026,0.030,3.195,1.098,0.000,33,24,23JUN2020:14:23:51,23JUN2020:14:00:41,46.9,51.8,43.2,23JUN2020:14:23:54,23JUN2020:14:46:34,425.0,1828,2.9990,0,82.0,84.6,79.9,23JUN2020:14:03:02,23JUN2020:14:27:52,495,400.3,85.9,185.6,892,60,352,2.684,8.053,23JUN2020:14:51:12,611.8,4588,19.884,13.02,90.0,93.0,18.579,101.5
"2020-06-23 15:59:59",1279257,30,0.024,0.028,2.766,1.162,0.000,34,26,23JUN2020:15:51:51,23JUN2020:15:08:21,48.6,52.9,46.4,23JUN2020:15:51:54,23JUN2020:15:08:24,425.9,1556,2.5740,0,82.6,85.1,80.4,23JUN2020:15:03:32,23JUN2020:15:58:02,488.2,400,85.9,171.7,765.3,62,32,2.908,10.290,23JUN2020:15:40:53,505.4,4584,19.884,12.97,86.4,91.2,18.268,101.4
"2020-06-23 16:59:59",1279257,26,0.021,0.024,2.183,1.040,0.000,29,22,23JUN2020:16:52:41,23JUN2020:16:05:11,45.5,49.6,41.9,23JUN2020:16:52:44,23JUN2020:16:05:14,426.2,1220,2.0640,0,83.3,85.5,81.7,23JUN2020:16:28:52,23JUN2020:16:00:42,480.7,392.9,85.8,146.8,606,69,11,2.237,6.711,23JUN2020:16:42:38,371.5,4579,16.342,12.96,84.7,87.3,18.330,101.3
"2020-06-23 17:59:59",1279257,28,0.016,0.019,1.529,1.045,0.000,35,22,23JUN2020:17:42:11,23JUN2020:17:23:11,45.7,52.3,42.6,23JUN2020:17:42:14,23JUN2020:17:23:14,428.0,830,1.4580,0,82.8,85.1,73.6,23JUN2020:17:22:52,23JUN2020:17:32:42,456.4,386.9,85.8,104.9,416,65,20,2.237,8.500,23JUN2020:17:31:12,241.6,4476,19.884,12.63,79.9,74.7,18.641,101.3
"2020-06-23 18:59:59",1279257,27,0.011,0.013,0.8380001,1.110,0.000,30,24,23JUN2020:18:48:11,23JUN2020:18:06:21,47.3,50.7,45.7,23JUN2020:18:18:04,23JUN2020:18:06:24,427.8,499.3,1.1570,0,82.4,84.2,77.4,23JUN2020:18:03:32,23JUN2020:18:30:02,438.6,383.5,85.8,46.9,283.7,71,323,1.566,6.711,23JUN2020:18:13:05,181.7,4462,19.884,12.52,73.9,69.1,18.952,101.3
"2020-06-23 19:59:59",1279257,30,0.008,0.009,0.222,1.086,0.000,36,23,23JUN2020:19:14:11,23JUN2020:19:52:31,46.8,49.6,44.6,23JUN2020:19:14:24,23JUN2020:19:05:24,433.1,117.2,0.2800,0,79.7,83.5,76.1,23JUN2020:19:52:02,23JUN2020:19:13:22,425.9,373.1,85.8,5.409,45.34,60,314,1.118,4.250,23JUN2020:19:54:13,-12.89,4432,19.884,12.44,69.1,,19.449,101.2
"2020-06-23 20:59:59",1279257,36,0.000,0.001,0.001,1.053,0.000,39,34,23JUN2020:20:06:31,23JUN2020:20:31:21,45.9,46.8,45.5,23JUN2020:20:14:44,23JUN2020:20:31:24,437.9,-1.281,0.0040,0,74.3,76.8,72.3,23JUN2020:20:37:22,23JUN2020:20:00:01,410,355.9,85.8,0.227,0,40,86,2.684,8.724,23JUN2020:20:55:23,-54.26,4409,19.822,12.38,63.1,62.6,19.573,101.3
"2020-06-23 21:59:59",1279257,41,0.000,0.001,0,1.066,0.000,43,38,23JUN2020:21:00:21,23JUN2020:21:51:11,46.2,46.8,45.9,23JUN2020:21:00:01,23JUN2020:21:49:34,442.6,-3.599,0.0000,0,71.4,73.2,69.3,23JUN2020:21:49:02,23JUN2020:21:03:42,404.2,348.2,85.8,0.736,0,51,145,2.908,8.948,23JUN2020:21:14:50,-56.73,4384,19.884,12.34,61.3,61.2,19.511,101.3
"2020-06-23 23:59:59",1279257,48,0.001,0.001,0,1.095,0.000,49,46,23JUN2020:23:02:41,23JUN2020:23:51:51,46.9,47.3,46.8,23JUN2020:23:27:04,23JUN2020:23:13:44,451.2,-3.599,0.0000,0,67.3,68.5,66.2,23JUN2020:23:57:52,23JUN2020:23:00:22,397.7,339.3,85.8,0.896,0,49,41,4.026,12.974,23JUN2020:23:43:03,-59.26,4346,18.082,12.34,59.7,43.2,19.387,101.3
"2020-06-24 00:59:59",1279257,50,0.001,0.001,0,1.091,0.000,52,49,24JUN2020:00:00:11,24JUN2020:00:58:01,46.9,47.1,46.6,24JUN2020:00:57:44,24JUN2020:00:06:04,453.8,-3.6,0.0000,0,65.8,66.7,64.8,24JUN2020:00:46:02,24JUN2020:00:00:01,394.5,336.9,85.8,0.917,0,51,51,4.250,13.198,24JUN2020:00:20:25,-58.58,4331,19.884,12.3,58.8,-13.4,19.263,101.2
"2020-06-24 01:59:59",1279257,53,0.001,0.001,0,1.082,0.000,54,51,24JUN2020:01:01:51,24JUN2020:01:59:31,46.6,46.9,46.4,24JUN2020:01:57:14,24JUN2020:01:07:04,456.4,-3.598,0.0000,0,64.0,66.0,63.0,24JUN2020:01:59:52,24JUN2020:01:30:52,391.9,333.4,85.7,0.814,0,41,41,5.369,17.001,24JUN2020:01:13:48,-59.28,4321,19.822,12.3,58.1,-89.7,19.325,101.2
"2020-06-24 02:59:59",1279257,56,0.001,0.001,0,1.074,0.000,57,54,24JUN2020:02:04:41,24JUN2020:02:54:21,46.4,46.8,46.2,24JUN2020:02:50:14,24JUN2020:02:02:14,458.3,-3.6,0.0000,0,62.4,64.0,61.2,24JUN2020:02:50:32,24JUN2020:02:03:32,386.1,329.6,85.8,0.926,0,55,148,3.803,16.330,24JUN2020:02:04:41,-57.36,4310,18.828,12.25,56.1,-24.5,19.200,101.2
"2020-06-24 03:59:59",1279257,58,0.000,0.000,0,1.062,0.000,59,57,24JUN2020:03:25:11,24JUN2020:03:59:51,46.2,46.4,45.9,24JUN2020:03:43:44,24JUN2020:03:00:01,459.2,-3.598,0.0000,0,61.3,62.2,60.3,24JUN2020:03:56:22,24JUN2020:03:21:42,382.9,327,85.7,1.284,0,69,131,3.355,10.514,24JUN2020:03:23:13,-57.17,4305,17.958,12.25,55.0,,19.200,101.2
"2020-06-24 04:59:59",1279257,59,0.000,0.000,0,1.051,0.000,60,58,24JUN2020:04:20:41,24JUN2020:04:46:31,45.9,46.2,45.7,24JUN2020:04:59:54,24JUN2020:04:03:24,458.5,-1.472,0.0040,0,60.3,61.0,59.5,24JUN2020:04:56:22,24JUN2020:04:16:52,382.1,325.1,85.8,1.216,0.081,58,53,4.698,17.896,24JUN2020:04:19:18,-58.14,4289,19.200,12.19,55.0,,18.703,101.2
"2020-06-24 05:59:59",1279257,60,0.002,0.004,0.143,1.043,0.000,60,59,24JUN2020:05:08:11,24JUN2020:05:24:21,45.7,46.0,45.5,24JUN2020:05:39:44,24JUN2020:05:24:14,458.4,40.87,0.0480,0,59.9,60.4,59.2,24JUN2020:05:39:02,24JUN2020:05:17:42,380.6,323.9,85.8,3.088,13.27,55,117,4.026,11.856,24JUN2020:05:01:23,-46.54,4286,17.958,12.21,54.5,,18.952,101.3
"2020-06-24 06:59:59",1279257,57,0.002,0.003,0.7220001,1.054,0.000,60,54,24JUN2020:06:50:21,24JUN2020:06:00:01,46.0,47.7,45.5,24JUN2020:06:12:14,24JUN2020:06:59:54,454.8,120.5,0.1710,0,61.5,63.5,59.4,24JUN2020:06:02:22,24JUN2020:06:57:32,386.3,328.7,85.8,11.7,53.14,44,45,5.592,20.356,24JUN2020:06:33:12,-16.18,4300,19.635,12.23,56.7,,19.138,101.3
"2020-06-24 07:59:59",1279257,58,0.004,0.006,1.407,1.194,0.000,66,51,24JUN2020:07:42:31,24JUN2020:07:08:31,49.3,52.9,46.9,24JUN2020:07:22:24,24JUN2020:07:59:24,466.1,648.8,1.1260,0,64.0,66.7,60.4,24JUN2020:07:04:52,24JUN2020:07:40:02,402.3,341.1,85.8,59.32,333.5,48,103,3.132,12.974,24JUN2020:07:30:15,212.9,4350,18.268,12.32,60.6,,18.828,101.3
